===== Simulation Results =====
Best Fitness (Jain Fairness Index): 0.9599
Average Response Time of Best Solution: 13.96 ms

Response Time Statistics by Priority:
  Priority 1: Mean=15.93 ms (Limit: 30 ms) [OK]
  Priority 2: Mean=11.69 ms (Limit: 25 ms) [OK]
  Priority 3: Mean=9.24 ms (Limit: 20 ms) [OK]

User-to-Server Assignment:
  User 0 -> Server 7 (Cloud)
  User 1 -> Server 6 (Edge)
  User 2 -> Server 0 (Edge)
  User 3 -> Server 6 (Edge)
  User 4 -> Server 5 (Edge)
  User 5 -> Server 5 (Edge)
  User 6 -> Server 0 (Edge)
  User 7 -> Server 0 (Edge)
  User 8 -> Server 3 (Edge)
  User 9 -> Server 6 (Edge)
  User 10 -> Server 3 (Edge)
  User 11 -> Server 6 (Edge)
  User 12 -> Server 4 (Edge)
  User 13 -> Server 2 (Edge)
  User 14 -> Server 1 (Edge)
  User 15 -> Server 2 (Edge)
  User 16 -> Server 1 (Edge)
  User 17 -> Server 3 (Edge)
  User 18 -> Server 6 (Edge)
  User 19 -> Server 6 (Edge)
  User 20 -> Server 5 (Edge)
  User 21 -> Server 3 (Edge)
  User 22 -> Server 2 (Edge)
  User 23 -> Server 5 (Edge)
  User 24 -> Server 6 (Edge)
  User 25 -> Server 5 (Edge)
  User 26 -> Server 4 (Edge)
  User 27 -> Server 0 (Edge)
  User 28 -> Server 2 (Edge)
  User 29 -> Server 0 (Edge)
  User 30 -> Server 3 (Edge)
  User 31 -> Server 0 (Edge)
  User 32 -> Server 2 (Edge)
  User 33 -> Server 4 (Edge)
  User 34 -> Server 0 (Edge)
  User 35 -> Server 1 (Edge)
  User 36 -> Server 2 (Edge)
  User 37 -> Server 1 (Edge)
  User 38 -> Server 6 (Edge)
  User 39 -> Server 3 (Edge)
  User 40 -> Server 7 (Cloud)
  User 41 -> Server 6 (Edge)
  User 42 -> Server 6 (Edge)
  User 43 -> Server 4 (Edge)
  User 44 -> Server 2 (Edge)
  User 45 -> Server 4 (Edge)
  User 46 -> Server 3 (Edge)
  User 47 -> Server 7 (Cloud)
  User 48 -> Server 1 (Edge)
  User 49 -> Server 6 (Edge)
  User 50 -> Server 4 (Edge)
  User 51 -> Server 0 (Edge)
  User 52 -> Server 6 (Edge)
  User 53 -> Server 2 (Edge)
  User 54 -> Server 3 (Edge)
  User 55 -> Server 5 (Edge)
  User 56 -> Server 7 (Cloud)
  User 57 -> Server 0 (Edge)
  User 58 -> Server 6 (Edge)
  User 59 -> Server 5 (Edge)
  User 60 -> Server 3 (Edge)
  User 61 -> Server 1 (Edge)
  User 62 -> Server 5 (Edge)
  User 63 -> Server 6 (Edge)
  User 64 -> Server 2 (Edge)
  User 65 -> Server 5 (Edge)
  User 66 -> Server 4 (Edge)
  User 67 -> Server 1 (Edge)
  User 68 -> Server 7 (Cloud)
  User 69 -> Server 3 (Edge)
  User 70 -> Server 7 (Cloud)
  User 71 -> Server 1 (Edge)
  User 72 -> Server 1 (Edge)
  User 73 -> Server 7 (Cloud)
  User 74 -> Server 5 (Edge)
  User 75 -> Server 6 (Edge)
  User 76 -> Server 4 (Edge)
  User 77 -> Server 3 (Edge)
  User 78 -> Server 1 (Edge)
  User 79 -> Server 2 (Edge)
  User 80 -> Server 1 (Edge)
  User 81 -> Server 1 (Edge)
